pixel_id,label,label_name,zone,timestep,date_str,longitude,latitude,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,valid
9212,4,Almonds,california,16,2021-06-10,-122.16032343566653,39.05223576770693,340.5,727.5,457.5,1183.5,2910.5,3357.5,3460.0,3532.5,1932.5,1063.5,1
9213,4,Almonds,california,16,2021-06-10,-121.27683035373498,37.611787209621276,308.0,576.5,390.5,925.5,2515.5,2997.5,3051.0,3241.5,1665.0,848.5,1
9214,4,Almonds,california,16,2021-06-10,-121.09537066634283,37.30052096367386,855.0,1167.0,1808.0,2160.5,2318.5,2564.0,2855.0,2997.0,4361.5,2925.5,1
9215,4,Almonds,california,16,2021-06-10,-120.56940706749086,37.04629773826804,529.5,848.0,895.0,1323.5,2724.5,3264.5,3384.0,3535.0,2931.5,2262.5,1
9216,4,Almonds,california,16,2021-06-10,-120.54650002774581,37.51836242007285,348.0,625.0,492.0,1028.5,2401.5,2816.5,3068.5,3036.5,1778.0,1029.0,1
9217,4,Almonds,california,16,2021-06-10,-121.9361937722787,39.81849870506088,584.0,806.0,1234.0,1380.5,1431.5,1520.5,1604.0,1614.5,2027.0,1877.5,1
9218,4,Almonds,california,16,2021-06-10,-120.47688059322654,37.13612926667999,306.5,591.0,474.0,1013.5,2871.5,3469.5,3588.0,3706.0,1989.0,1182.5,1
9219,4,Almonds,california,16,2021-06-10,-120.39872716350814,37.06067078281395,522.5,874.5,938.0,1432.0,2893.5,3363.0,3574.0,3668.5,2520.5,1513.0,1
9220,4,Almonds,california,16,2021-06-10,-119.21070520026008,35.89555585931093,408.0,655.5,568.0,1034.0,2673.0,3214.0,3390.0,3452.5,1968.0,1199.0,1
9221,4,Almonds,california,16,2021-06-10,-121.26739804325172,37.64367740220752,910.5,1330.0,1707.0,1997.5,2380.0,2586.5,2643.0,2742.5,3290.0,2836.5,1
